mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mc_11,mc_12,mc_13,mc_14,mc_15,mc_16,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
2,3,2,3,2,1,2,2,1,1,3,3,2,2,,6,Dave was entertaining and kept the class engaged.,Went through slides fast.  Could provide more examples.,"The assignments, labs, tutorials and tutors.",Lab exercises w/ slides.  Could make lab exercises more step by step (procedural).,,
2,3,1,2,1,1,2,1,1,1,1,4,2,2,3,,Kept the class lively and interesting with jokes.,Sometimes went through content a bit too fast.,,,,
1,1,1,1,1,6,1,1,1,1,1,1,1,1,2,,He is very humourous.,,,,,
2,3,2,1,1,6,2,2,1,2,2,3,2,1,3,,Good that Dr. Racket is also used when explaining.,It makes CS more interesting.,,"Assignments are way too hard.  For TA's office hour, too many people are there, difficult to seek help.",,
1,3,1,2,1,1,1,1,1,1,1,2,3,2,5,,Dave was very enthusiastic and made class extremely entertaining.  He genuinely enjoyed the class and made the learning environment much better.  His high knowledge of material was very evident.,Perhaps slowing down a bit on some explanations and a few more examples on the harder concepts.,Very informative and extremely interesting.,Assignments in some cases were significantly harder than material learned.,Very positive and enjoyable environment.,
2,3,2,2,1,1,4,2,1,2,4,4,3,3,2,,Very entertaining lecturer.  Engaging classes.,,"Good pace, interesting material.",Too much design recipe.,Positive.,
2,3,2,2,2,6,2,2,1,2,2,4,3,3,2,,Presentation was clear and somewhat spot on for most of the time.  Treatment of questions was also dealt with very well.,None.,Introduction to computer science was informative and friendly to those with no background.,Gets lengthy of some concepts unnecessarily.,Instructor maintained fairness.,
1,3,2,1,1,6,2,1,2,1,1,2,2,3,3,,Good jokes.,Stop being so ambiguous when I ask for help via email.  You just make me avoid you and go straight to the tutors.,Recursion.,Trees (they're pretty stupid),,
2,3,3,3,2,4,2,2,1,2,2,4,3,3,2,,Funny & tries to make the classes interesting.,Go through more examples.,,,,
1,3,2,1,2,6,4,1,1,1,2,3,3,3,3,,The instructor was enthusiastic and engaging.,,"I really like the labs, they were very helpful.",,Positive atmosphere.,Good size.
1,3,2,1,1,3,2,2,2,1,1,1,3,3,1,6,Vivid explanation.,Spelling?,Detailed explanation.,,,
1,3,3,3,1,3,4,2,2,2,2,3,3,3,1,,He's good at the introduction of new knowledge.  His jokes are funny.,,,,Positively.,Just right.
1,3,1,1,1,2,2,1,1,1,2,3,3,3,2,,Entertaining.,No complaints.,,,Positively by humour.,
1,3,1,1,1,1,1,1,1,1,2,3,3,3,2,,Dave has been very helpful throughout the whole year and he is a funny and enjoyable teacher to have.  I would recommend him to everyone.,Sometimes variable names and function names can be too similar and confusing.,,,,
1,3,1,1,1,1,1,1,1,2,1,2,3,2,2,,"Presentations, Explanations, Examples, basically everything was well done.",A few prepared examples ready for class but that's nit-picking.,All were quite strong.,TA's more helpful.,"Always affected positively.  Prof. Tompkins' attitude, disposition and jokes made this easily my favourite class.",Take all classes with Tompkins!
2,2,1,1,1,6,4,1,1,2,4,5,2,3,2,,,,,,,
1,2,1,1,1,6,2,1,1,1,1,5,3,3,3,,,,,,,
2,2,2,2,2,2,1,2,1,1,2,1,3,3,3,,,,,,,
2,1,2,1,2,2,1,2,2,1,1,2,3,3,3,,,,,,,
1,3,1,2,1,2,1,1,1,1,2,3,3,3,3,,"Made a course that had the potential to be dull exciting.  I honestly would get excited to come to class.  Dave gave good examples, was patient with student's questions and always maintained an interactive learning environment.",,"The assignments, professor, labs, and extremely helpful TAs.",Course notes (examples are too easy).,Best class.,
1,3,1,1,1,1,1,1,1,1,1,2,3,3,3,,Prof. Tompkins is very good at making his lectures interesting and enjoyable.,Prof. Tompkins should continue teaching the way he does.  His style has no flaws.,,,,
3,,2,2,2,6,4,2,1,2,2,5,,2,3,,,,,,,
1,3,1,1,1,6,4,1,1,2,4,2,3,2,3,,"The examples he gave out is excellent.  Also, he gives more examples, other than the courseware, which is awesome!!!",None.,"This course is ? useful, well ? somewhat useful.  Hope to see more applications.",,,
2,3,1,1,1,1,1,1,1,1,2,4,3,3,3,,"He converted a normal course into an interesting one with funny examples, to retain the students interest.",,,,,
2,3,2,1,1,6,4,1,1,1,1,3,3,3,2,,Keeps CS lectures interesting.  Fresh approach to teaching with slides by creating simple examples that help further understanding.,"No comment, since I come to this class to make up for my regular class that I missed b/c I went to the gym during that time, but he's a lot more engaging than my normal prof.","Introduced concepts in a gradual manner, fun assignments (relative to maths).","Too much tests, for assignments :(  Design recipe and tests make the assignments much more tedious than they should be.",,
1,3,1,1,1,1,2,1,1,2,1,2,3,3,2,,"Good explanations for the knowledge, never feeling boring in the class.  Funny guy.",,Gave good intro to CS.,,It's excellent.,
1,3,1,1,1,6,1,1,1,1,4,5,3,3,3,,Everything.,Give a short break in-between.  Just one!,,,Positively.,Dave is awesome !!!
1,3,1,1,1,1,2,1,1,1,2,5,3,3,4,,"As a new prof. he has taught the course very well and has ensured that all his students understood.  Especially for those doing it for the first time like myself, he was always helpful.",We can possibly get a 5 minute break in-between.  Do more examples with respect to the assignments.,His teaching and energy was great.,,Positively.,Good size.
1,3,1,,2,6,1,2,1,1,2,2,3,2,4,,His talk is funny and easy to understand.,,,,,
2,2,2,2,2,2,2,2,1,2,4,4,3,2,4,,Explains the concepts clearly.,Give more examples to get ideas on assignment.,,,,Class size is too big.
1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,,Atmosphere,Fine,Atmosphere,Nothing,Positive,Excellent job Dave.
2,3,2,2,2,3,2,2,1,2,2,5,3,3,2,,,,,,,
1,3,1,1,1,6,1,1,3,2,1,5,3,3,2,,Oral communication.  Presentation.  Exploration.  Humour.,Spelling / coding mistakes.,Good course notes and assignments.,Textbook not really required.,Good atmosphere.,
1,3,1,1,1,6,1,1,1,2,1,4,3,2,2,,Very funny!,Wish to know more about how the things we're learning apply to the real world or a bigger concept.,,Wish to have more tips for the assignments.,Fun and interesting: Like!,
