mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mc_11,mc_12,mc_13,mc_14,mc_15,mc_16,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
1,3,1,2,1,1,1,1,1,1,1,5,3,3,3,,Explains concepts very well/thoroughly.,I would have liked assignments that were more application to the real world / interacted more with the real world.,Helpful lectures.,Not that many.,Fine.,
1,3,1,1,2,2,2,1,2,1,2,5,3,2,2,,"Excellent explanations, great examples and jokes.  Keep it up!",Nah: not really needs to improve I'd say.,,,,
1,3,1,1,1,6,2,1,1,2,2,2,2,2,4,,Clearly explains content.  Interesting teaching style.,,,Sometimes it is a little bit difficult.,,
1,3,1,1,1,1,1,1,2,1,2,5,2,3,4,,,,,,,
1,3,1,2,2,3,1,1,1,2,4,2,3,3,4,,,,,,,
1,3,1,2,1,6,2,2,2,1,2,4,3,3,2,,Very cute.  Very good.  Very impressive.  One of the best profs in UW.,Already done well.,Basic introduction to the CS world.  Useful.,Should set CS 136 as the introduction CS course instead of teaching Racket.,Positively.,Just okay.
1,3,1,1,1,6,2,1,3,2,2,5,3,2,2,,,,,,,
1,3,2,3,1,2,2,2,1,2,4,2,3,3,3,,,,,,,
2,3,1,1,1,6,1,1,2,2,1,5,2,2,3,,Class explanations.  Cheerful attitude.  Helpful whenever possible.,More forceful.  Groups of people tend to talk.  I would call them out.,"Interesting material, satisfying assignments.",Sometimes abstract feeling.  Can be difficult to think about how it is.,"Everyone friendly, occasionally groups of talking people get a bit loud.",No complaints here.
2,3,3,3,2,3,2,2,1,2,2,5,3,3,2,,You try to make the course as interesting as possible.,You need to be careful of your 'word choice' when you speak.  Sometimes the words you used are offending.  You go too slow on the course material.,,,,
1,3,2,2,1,1,1,1,1,2,2,3,3,2,5,,,,,,,
2,3,1,1,1,2,1,1,1,2,2,4,2,2,4,,,,,,,I love machine gun!
2,3,1,1,1,2,2,1,2,2,2,2,3,2,2,,,,,,,
1,3,2,1,1,2,2,1,1,1,1,3,2,1,3,,,,,,,
1,3,1,1,1,1,1,1,1,1,1,2,3,3,3,,Everything.  I looked forward to his lecture every day.  I found it unfortunate that we only had two lectures a week: wish he taught all my classes.  Best of luck with your career! You are awesome.,Absolutely nothing.  His lectures were so fantastic that I showed up to the other two sections so I could ask better questions in lecture and office hours.  Loved the lecture intro videos.,,,Class atmosphere was epic.  Dave was really engaging and got everyone to participate.,
1,3,1,1,1,4,1,1,1,2,2,4,2,1,2,,Your analogies kept me from falling asleep.,Would be great if you were available out of class more often.  You always had a huge lane in your office.  More office hours please.,What I learned seemed useful.,Assignments too long and tedious.,Great.,Great.
2,3,2,1,1,4,1,1,1,1,1,2,4,3,3,,"Dave included lots of metaphors and analogies that are not only amusing, but also helpful in understanding and retaining information.  He has a welcoming nature that seems to tolerate students asking lots of questions in lecture.  He also connected material to the real world.","He seems to be too welcoming to all questions, even if it slows the pacing of the course significantly.","Information on the slides were both informative, helpful, and succinct.  The course was engaging and interesting.",There seems to be a lack of practice questions.,,
2,3,1,1,1,6,1,1,2,2,5,2,3,2,4,,Dave is an excellent instructor.  He is funny and great at teaching stuff.  I would like to take his courses again if he teaches CS 200 classes.,Should've played more and more interesting videos before lecture starts.,Kind of challenging at some points.  Assignments are really time consuming.,,,
1,3,1,2,2,6,2,2,1,2,4,4,3,2,2,,,,,,,
2,2,1,2,3,2,2,2,2,2,3,3,3,2,3,,,,,,,
2,2,2,2,2,2,3,3,1,3,2,3,2,1,3,,"Explain materials clearly, but when it comes to assignments, I still don't know how to do it.",He is good.  I'm just too stupid.,I don't see any.,You learn & you get screwed.,No effect at all.,I'm fine with it.
2,3,2,1,2,3,2,2,2,2,2,2,2,1,3,,I like pictures.  Interesting compared to other instructors. Enthusiastic.,Provide more applications of techniques learned in class.,Teach programming skills.,Not enough examples of applications of course material.  Assignments difficult with vague instructions.,Good.,Good.
1,2,1,1,1,4,2,,1,2,4,3,2,1,5,,,,,,,
2,3,1,1,1,6,2,1,1,3,4,5,3,2,2,,,,,,,
