mc_1,mcex_1,mc_2,mcex_2,mc_3,mcex_3,mc_4,mcex_4,mc_5,mcex_5,mc_6,mcex_6,mc_7,mcex_7,mc_8,mcex_8,mc_9,mcex_9,mc_10,mcex_10,mc_11,mcex_11,mc_12,mcex_12,mc_13,mcex_13,mc_14,mcex_14,mc_15,mcex_15,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
2,,3,"some of the topics I wish were explained more, although I feel that the majority of the topics were aimed at a level that was just right.",,,2,,,,6,,2,,,,,,2,the quizzes were not very helpful but by completing assignments I gained a greater understanding of the course material.,,,4,,3,"the topic of excel was not very much new material, much was covered in grade 9 business that I took, but the website and survey making was a lot of new material, overall I think the material balanced out to just the right amount of new material to be learned.",3,,2,I spent time reviewing the notes and videos and working on assignments. The quizzes were quite short and did not require much time.,,,the assignments were very useful for learning the material.,,,
2,,2,,2,,3,,,,,,3,,6,,1,,2,,2,,4,,2,,3,,2,,,HTML documents to present the information are a little boring.,Learned a lot of basic computer skills,,,
1,,3,,2,,1,,1,,1,,2,,1,,1,,2,,4,,4,,3,,3,,2,,Great at explaining complex CS concepts with examples,,,,,
2,,2,"Some of the HTML content seemed over our heads, especially for students that had never been exposed to CS at all. I found that the modules weren't overly helpful in applying these topics either. Maybe you could scale it back a little, seeing as this is an introductory course.",4,"Instructor didn't really answer questions. It was TA's mainly, and sometimes they were very slow in replying.",2,,6,,6,,2,,2,,,,2,,2,,4,,2,,3,,2,,"Written modules and YouTube videos were helpful for the quizzes, but sometimes were not helpful for actually applying the theory in the practical assignments.",N/A,Organized,"We didn't receive any feedback on our assignments! A rubric would be posted, but it would be a lot more helpful for the TA's to fill out rubrics for each students assignments so we could see where we went wrong.",N/A,N/A
1,,3,,,,,,1,,6,,2,,1,,,,1,,,,,,3,,3,,1,,,,,,,
2,,3,,6,,6,,1,,6,,2,,2,,1,,5,,4,,4,,3,,3,,1,,,,,,,
1,,3,,2,,1,,1,,4,,2,,1,,,,2,,,,,,2,,3,,2,,Use of videos to explain concepts.,"If you could include videos as well as text explanations on a seperate page, it would be really beneficial.",variety of content,too much focus on excel.,this was an online class.,
1,,3,,6,,3,,2,,6,,2,,2,,1,,2,,4,,4,,3,,3,,2,,Engaging.,Using seperate videos are easier for review. Some modules was not separatef into a lot of videos.,Good pace for students who doesnt have experience in cs.,Excel portion doesn't feel useful.,N/A,N/S
1,,3,,6,,3,,1,,6,,2,,2,,1,,1,,2,,5,,3,,3,,2,,Videos were done well and felt very personal.,I honestly do not think that he could improve anything. He enunciated everything clearly and explained course material well. The only thing is that he sometimes spoke too slow but I found that this was a good thing because I could play it at 1.25x speed if I needed to.,Made topics that were taught very easy to understand by using relatable examples.,Sometimes there would be too many topics introduced in one week.,Online.,Online.
3,,3,,3,,3,,3,,3,,2,,3,,1,,1,,1,,1,,3,,3,,2,,,,,,,
2,,2,,2,,3,,2,,6,,2,,2,,1,,2,,2,,2,,2,,2,,3,,,,,,,
1,,3,,2,,2,,1,,2,,4,,2,,5,,2,,4,,4,,3,,3,,2,,,,,,,
2,,3,,3,,3,,2,,,,2,,2,,1,,2,,,,,,3,,2,,2,,Quite clear in his videos.,Maybe giving notes along with the videos,learning excel skills,too many assignments,"online course, no opinion",no opinion
6,,6,,1,,1,,1,,6,,1,,1,,1,,1,,1,,1,,3,,3,,3,,Great explanation,None,Useful,,,
1,,3,,2,,1,,1,,6,,1,,2,,1,,2,,1,,1,,3,,3,,2,,,,,,,please and kindly stop letting random people in the room so that the people that are supposed to be there can have seat. This can be done by making sure that reef points go to people at their assigned class time.
2,,3,,2,,2,,2,,6,,2,,2,,1,,2,,2,,4,,3,,3,,2,,good explanation of the content,all is good,the youtube video format was much better than the reading,nothing,not to sure. took it online,none
2,,4,,2,,2,,3,,,,2,,2,,,,2,,,,,,3,,3,,2,,,,,,,
2,,2,,6,,5,,4,,4,,2,,5,,1,,3,,5,,5,,2,,1,,2,,,,,HTML coding... absolutely horrible for me to understand,,
1,,3,,2,,2,,2,,3,,2,,2,,1,,2,,,,,,3,,,,2,,,,,,,
1,,3,,1,,2,,1,,6,,2,,1,,1,,1,,2,,1,,3,,3,,2,,Great energy and really cares about the success of the students,A little more clear on some of the grammar rules and more practice with them in class,Textbook was great,Tutorials were redundant and could use better excerses,Postiive,
2,,3,,2,,1,,1,,1,,1,,2,,1,,1,,2,,5,,2,,3,,3,,,,,,,
1,,3,,2,,1,,1,,6,,1,,1,,1,,1,,2,,4,,3,,3,,2,,,,,,,
2,,2,,2,,3,,3,,3,,3,,4,,3,,3,,3,,3,,3,,2,,3,,,,,,,
2,,3,,3,,1,,1,,6,,2,,2,,1,,2,,2,,4,,3,,3,,2,,,,,,,
2,,3,,6,,3,,3,,6,,2,,2,,1,,2,,4,,4,,3,,2,,3,,,,,,,
1,,3,,1,,1,,1,,6,,1,,1,,1,,1,,4,,4,,3,,3,,2,,engaging instructor!,I liked the videos and the humour of the instructor,,,none,none
1,,3,,6,,6,,,,6,,1,,1,,1,Online course,1,,5,,5,,3,,3,,2,,,,,,,
1,,3,,3,,6,,1,,2,,1,,1,,1,,1,,5,,4,,3,,3,,2,,,,,,,
1,,3,,2,,1,,1,,3,,2,,1,,,,1,,4,,4,,3,,3,,2,,The video lectures were very good. I enjoyed my time observing them.,,The material taught was a good foundation for basic computing.,None.,N/A,N/A
3,,4,,2,,3,,2,,6,,2,,2,,1,,2,,4,,4,,3,,3,,2,,,The HTML module was not explained as well as it could have been especially to students who are new to learning it. I had to google/youtube alot if it to understand,The excel module was really good in teaching the important things you can do with excel. Probably the most beneficial module/,Explanations were weak in HTML module,,
2,,3,,2,,1,,1,,6,,2,,1,,1,,1,,1,,4,,3,,3,,2,,,,,,,
2,,3,,2,,4,,2,,6,,2,,2,,1,,2,,4,,4,,3,,3,,3,,,,,,,
2,,3,,2,,2,,2,,3,,2,,2,,,,2,,,,,,3,,3,,2,,,,,,,
1,,2,,6,,2,,2,,6,,2,,2,,1,,2,,4,,4,,5,,3,,2,,,,,,,
2,,3,,3,,2,,2,,6,,2,,2,,1,,1,,5,,5,,3,,3,,2,,,,,,,
3,,2,,2,,6,,2,,3,,3,,2,,1,,2,,5,,5,,2,,2,,2,,,,,,,
1,,3,,6,,2,,2,,6,,2,,2,,1,,1,,5,,4,,3,,3,,1,,Great and interesting lectures!,Possibly have text version of lectures as well? In case videos aren't accesible,Lectures and interesting material,Don't think there were any,Can't tell. This was an online course,"Again, this was an online course."
1,,3,,1,,2,,1,,2,,1,,1,,1,,2,,1,,4,,3,,1,,2,,Nice videos.,,Short and straight to the point lectures.,Some of the breakdowns for assignments were vague [ SOME most were fine],,
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,2,,4,,3,,3,,2,,The instructor is very engaging.,The instructor could sow down his pace of covering the material .,"Very interesting, engaging and helpful",The material sometimes was too complicated.,The general atmosphere of the class was very positive.,
1,,4,,2,,1,,2,,6,,1,,1,,,this was a online,1,,1,,4,,3,,3,,2,,videos were entertaining to watch if played in 1.5x speed,some of the videos can be explained better the quiz questions asked for definitions and such so i had to google some of them because the explanation was clear,flexible for the students,n/a,10/10,super noisy in the classroom
2,,3,,6,,2,,2,,6,,2,,3,,,,2,"some of the assignments were more difficult than the modules. The modules didn't explain thoroughly to do a great job on the assignments, a lot of extra researching went into some assignments",,,,,3,,3,,1,,,,,,,
2,,3,,3,,2,,2,,1,,1,,1,,1,,1,,1,,1,,3,,3,,3,,,,,,,
2,,3,,3,,3,,2,,6,,1,,2,,1,,1,,4,,4,,3,,3,,2,,The ability to engage the student in his video lectures and to bring engaging facts and memes into relevant content.,"Sometimes, the videos or the lecture notes were not quite enough to fully interpret what the assignment required.",The assignments were all very useful in learning the concepts discussed in the modules.,The lack of clearness in some of the assignments created a vague feeling when attempting them.,,
2,,5,,5,,2,,1,,5,,1,,5,,1,,1,,4,,4,,3,,3,,3,,The predone lectures were good but the TAs were very useless.,,,"TA's never answered questions in a timely fashion, not open to appointments",,
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,3,,2,,Instructor has structured the course in a very logical way. Progression from one module to the next is very good.,Nothing.,Material and presentation.,Nothing.,Was online.,Nothing.
2,,3,,1,,2,,1,,1,,1,,2,,1,,2,,4,,4,,3,,2,,2,,,,,,,
3,,3,,6,,2,,2,,6,,2,,2,,1,,2,,2,,4,,3,,3,,2,,Online video lessons were usually pretty well done,,"Learned a lot about HTML, and excel",Content could get dull at times,,
1,,3,,2,,1,,2,,3,,1,,1,,1,,1,,1,,4,,3,,3,,2,,Explained concepts well in the videos and readings.,,Very informative and a lot of new content to be learned for someone who never took CS in high school. Very helpful and taught many things.,,No class.,No
6,,3,,6,,6,,6,,6,,1,,6,,,There were no lectures,2,,4,,4,,3,,3,,2,,,,,,,
1,,2,,1,,2,,1,,1,,2,,1,,1,,1,,2,,4,,3,,3,,2,,,,,,,
