mc_1,mcex_1,mc_2,mcex_2,mc_3,mcex_3,mc_4,mcex_4,mc_5,mcex_5,mc_6,mcex_6,mc_7,mcex_7,mc_8,mcex_8,mc_9,mcex_9,mc_10,mcex_10,mc_11,mcex_11,mc_12,mcex_12,mc_13,mcex_13,mc_14,mcex_14,mc_15,mcex_15,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
2,,3,,3,,2,,2,,1,,1,,2,,1,,1,,2,,2,,2,,2,,3,,Using real life scenarios to explain certain concepts,Use the lightsaber more often,Understanding the C language,Restricted only to c libraries that are thought in the course,No,Class was a little crouded
1,,3,,2,,1,,1,,6,,1,,1,,1,,1,,4,,1,,3,,2,,3,,,,,,,You are too mean when you answer questions on piazza
1,,3,,1,,1,,1,,1,,2,,1,,2,,2,,4,,4,,1,,2,,3,,,,,,,
1,,3,,1,,1,,1,,6,,1,,1,,1,,1,,2,,,,3,,3,,3,,,,,,,
1,,3,,1,,1,,1,,4,,2,,1,,1,,2,,2,,4,,2,,1,,5,,"He did a really good job keeping the class interesting. He used great analogies to help us understand complex concepts, and did well explaining new ideas. I also liked the diagrams he would draw on the slides to give us a better visual of what's going on.","I would like to see more code examples. Not prewritten ones on the slide, but actually going to Seashell and writing the code. This way, I can kind of see the thought process of going through a question and finding a solution.","Introduced many important concepts in C, which will be useful in the real world.",If you are new to CS (like me) the assignments can be a little overwhelming. I spent easily over 15 hours a week on assignments in this course.,Dave always kept the atmosphere very light with his humour and teaching style. He made me enjoy coming to his each and every day.,"I loved the idea of watching a movie before class to motivate us to get to class earlier. I had a class that ended at 12:50 in ECH so I rarely made it in time to see the clip for the day, but I liked the concept nonetheless :)"
1,,2,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,2,,5,,,,,,,
2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,
1,,1,,1,,1,,1,,6,,1,,1,,2,,1,,1,,3,,3,,1,,4,,,"I do prefer we could have some example of picture about the stack or memeory: I know that instructor drawed couple time in the class, but since they are not in the course notes, make me hard to review, and there is lots in the exams.",,,,
2,,3,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,3,,3,,3,,,,,,,
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,4,,2,,2,,3,,Instructor has a good sense of humor that always draw our attention during the classes.,,,"In the end of this term, there are two many course material and instructor explain them in a quick and fuzzy way.",,
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,4,,4,,3,,1,,"Explains concepts extremely well, Funny engaging and witty. Found it hard to not pay attention ","Perhaps when introducing algorithms, use a computer simulator, not only for sorting algorithms but other algorithms as well.","Useful, interesting and slightly challenging material ",None.,"Positive, no issues",Nothing else to say here.
1,,3,,1,,1,,1,,1,,1,,1,,2,,1,,1,,1,,3,,3,,3,,,,,,,
1,,3,,1,,1,,1,,1,,2,,1,,1,,1,,,,4,,3,,3,,4,,Making the lectures engaging and compelling,Nothing in particular.,The assignments are well-organized and helpful towards learning.,Not that I can recall.,No special effects.,"The classroom, PHYS235, is highly unsuitable for teaching. I would recommend changing to another classroom."
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,3,,3,,3,,,,,,,
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,3,,3,,2,,"I enjoy the assignment a lot, it is interesting and not too difficult, but it will be better if provide more tests exactly some complicated list/ array that hard to build by ourselves.",,,,,
1,,3,,3,,2,,1,,2,,1,,1,,1,,1,,2,,3,,3,,3,,3,,,,,,,
3,,3,,2,,2,,3,,3,,2,,2,,1,,1,,1,,2,,2,,1,,4,,,,,,,
1,,1,,1,,1,,1,,2,,2,,1,,1,,1,,1,,2,,2,,2,,4,,make students easy to understand,,introduce many basic knowledge,a little hard for new learner,,
1,,3,,3,,2,,1,,2,,2,,1,,1,,1,,1,,,,3,,3,,5,,,,,,,
1,,2,,1,,1,,1,,2,,2,,1,,1,,2,,1,,4,,3,,3,,4,,,,,The Racket code in the coursenote is not helpful at all... Please use C instead:),,
2,,3,,2,,2,,2,,2,,1,,2,,1,,1,,1,,3,,3,,2,,3,,,,,,,
1,,3,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,1,,3,,,,,,,
1,,3,,2,,1,,1,,3,,1,,1,,1,,1,,1,,4,,2,,2,,5,,"the instructor presented the materials remarkably. This was the first course that I never missed a class, just because of how good he presented the material.","Nothing, he's good",the lectures.,The amount of time I spend doing assignments. Also I wish he had more office hours throughout the week. ,it was postive. He never did anything to offend anyone. ,"there is some noise at the back of the class but whihc class doesnt. Overall, I believe Dave Tomkins deserve tenure. "
