mc_1,mcex_1,mc_2,mcex_2,mc_3,mcex_3,mc_4,mcex_4,mc_5,mcex_5,mc_6,mcex_6,mc_7,mcex_7,mc_8,mcex_8,mc_9,mcex_9,mc_10,mcex_10,mc_11,mcex_11,mc_12,mcex_12,mc_13,mcex_13,mc_14,mcex_14,mc_15,mcex_15,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
1,Dave is the best,3,I understood all of Dave's explanations,1,Dave blesses his students with his clear and understandable answers,1,Dave made considerable efforts in drawing masterpieces on the blackboard (and the wall) to demonstrate tough examples,1,Dave is comedy gold. He is great because I learn and enjoy myself in class at the same time.,6,Dave's teaching is so good I ace all my assignments and I never need any help outside of class.,1,Computer science is awesome. So is Dave.,1,Its super effective!,1,Never missed a single class even when sick and sleep deprived. The combined benefit of watching a movie/listening to dave and learning CS is too great to miss.,1,"It was pretty helpful to confirm how much I was absorbing, but sometimes it got overbearing.",1,Notes were very clear.,5,,3,,3,"Sometimes it was, sometimes it wasn't.",3,I lost all aspects of my actual life during assignment 9.,Dave does everything well.,Send more free clickers!,Dave,When Dave was substituted :'(,Dave's attitude made the class very entertaining and energetic.,
1,"Dave made sure that he is prepared every class, as he remembers the material from the previous lecture and summarizes it before getting into new material.",3,Dave made sure that everyone could understand the concepts by giving meaningful examples of the material and frequently answering questions.,1,Dave made sure that the students' questions were thoroughly answered before moving on.,1,Dave made sure to use diagrams/figures/drawings to illustrate the more difficult material and to highlight any key concepts.,1,"It was really great that Dave spoke using language that student could understand and connect with, rather than using lot's of big words that many people might not know the meaning of.",2,,1,"Computer science has always been interesting to me, but after going to Dave's lectures, I feel that I enjoyed CS a lot more, not only because of the clear explanations, but also because of asides that makes me want to learn more on my free time.",1,"I have never had a professor (or teacher) that was quite like Dave before, he always makes sure that his explanations are clear through multiple examples and repetition of the material to ensure that we key concepts before moving on. He makes jokes and funny comments that keeps the class engaged and attentive and most impressively, managing to not fall behind while doing so. Lastly, he puts on 10 minutes of a movie before class starts to encourage students to get to class early, a very effective strategy that I've never seen anyone else do before, giving students another reason (aside from clicker marks) to go to class.",1,I would not miss a Dave lecture for my life (and my money XD),1,,2,,2,,3,,2,,3,,"I feel that Dave was able to effectively teach the courses content in a timely manner, while not rushing the material and keeping the class attentive through jokes and sarcastic comments.","I feel like some lectures had a ton of clicker questions, whereas others had very few or none at all. It would be great if the clicker questions could be spread out more evenly over all the lectures.",This course introduced many new concepts of C in a timely manner in that it was possible to take in all the material taught in class before being introduced to new ones.,"hmm, earlier course notes?","The instructor made sure that the atmosphere was fun and relaxed, as he encouraged students to ask questions and participate in examples.","Although I understand the small class size, it was really difficult to get into Dave's section since everyone wanted to, but as the course went on, there weren't as many people in Dave's lectures. I feel like maybe if the clicker questions can be answered from any lecture, it would give some students that didn't get into Dave's section a chance to go to a few of his lectures without losing clicker marks."
1,,3,,1,,2,,1,,1,,2,,1,,1,,2,,2,,2,,2,,2,,2,,,,,,,
1,,3,,1,,1,,1,,6,,1,,1,,1,,1,,1,,5,,3,,3,,4,,Dave's lectures were always interesting. His explained everything really clear and told us many good jokes.,"He talked about his lightsaber, but never brought it in class. I would like to see him wave it around during the lecture.",Seashell is great after I understand how to use it and the meaning of the error messages.,,,
1,,3,,1,,1,,1,,6,,1,,1,,1,,1,,1,,2,,3,,2,,4,,"Clear explanations, boardwork is helpful in visualizing what the code is doing, very funny.",,"Great notes, though some examples can be a bit unclear at first or take some time to digest. Useful homework, great instructor.","Assignments can sometimes be lengthy, but they are helpful for getting a strong understanding of the concepts. Assignment solutions occasionally use features from the yellow boxes (advanced sections) of the notes that weren't covered much in class, but they are good overall.",,
2,,4,,2,,2,,1,,2,,1,,1,,1,,1,,4,,4,,4,,5,,2,,,,,Assignments too short,,
1,,3,,1,,1,,1,,2,,1,,1,,1,,3,,5,,3,,3,,2,,4,,"Excellent structuring of lectures and examples, made everyone feel welcome in the room, made an attempt to keep everybody interested in the content, spoke to the class as equals, humorous personality and overall a great person to be around.",Bring out the lightsaber,"Lots of content, thorough explanations, I feel like I learned a lot this term.","Assignments were poorly written, unclear and not proofread well, test input on marmoset secret tests did not always adhere to the contract, piazza is not an efficient way to communicate information, course content needed for assignments was sometimes taught the day before the assignment was due, the contract stated in .h files was not always consistent with that of the assignment page, it was unclear what we were or were not allowed to use in each question, and style expectations were not made clear at all.",No,Dave needs a bigger lecture hall
1,,3,,2,,2,,1,,1,,1,,1,,1,,1,,2,,5,,3,,3,,4,,Highest quality explanation of slides[nl]Walked through examples very well,None,Fun assignments[nl]Intersting to learn about and use dynamic memory,Some mistakes on assignments wasted time,Nope,"Class size is good, I much prefer classrooms to lecture halls"
1,,3,,1,,1,,1,,3,,1,,1,,1,,2,,5,,5,,3,,2,,2,,"Very engaging for the whole class, very enthusiastic, gave all the relevant examples.",Um........... don't vandalize?,Interesting,Rather repetitive assignments,Positive,Class too small
1,,3,,1,,2,,1,,3,,1,,1,,1,,1,,5,,5,,4,,3,,3,,"His analogies were really helpful in understanding course content, and he made the class really entertaining.",,"The professor's sense of humor, the flowchart diagrams, and linked lists in general.","There could have been a bit more focus on trees and graphs, and maybe a few more stack frame examples/ exercises.",,The class was a bit overcrowded.
